[2025-06-30 12:20:23] {'type': 'usb', 'action': 'add', 'timestamp': '2025-06-30 12:20:23.081179', 'model': 'Inconnu', 'vendor': 'Inconnu', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:14.0/usb3/3-3/3-3:1.0', 'node': None}
[2025-06-30 12:20:23] {'type': 'usb', 'action': 'add', 'timestamp': '2025-06-30 12:20:23.086702', 'model': 'Inconnu', 'vendor': 'Inconnu', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:14.0/usb3/3-3/3-3:1.1', 'node': None}
[2025-06-30 12:20:23] {'type': 'usb', 'action': 'bind', 'timestamp': '2025-06-30 12:20:23.159629', 'model': 'Inconnu', 'vendor': 'Inconnu', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:14.0/usb3/3-3/3-3:1.0', 'node': None}
[2025-06-30 12:20:23] {'type': 'usb', 'action': 'bind', 'timestamp': '2025-06-30 12:20:23.169504', 'model': 'Inconnu', 'vendor': 'Inconnu', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:14.0/usb3/3-3/3-3:1.1', 'node': None}
[2025-06-30 12:20:23] {'type': 'usb', 'action': 'bind', 'timestamp': '2025-06-30 12:20:23.173917', 'model': 'USB_Keyboard', 'vendor': 'SEM', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:14.0/usb3/3-3', 'node': '/dev/bus/usb/003/009'}
[2025-06-30 12:20:52] {'type': 'usb', 'action': 'remove', 'timestamp': '2025-06-30 12:20:52.637594', 'model': 'Inconnu', 'vendor': 'Inconnu', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:14.0/usb3/3-3/3-3:1.1', 'node': None}
[2025-06-30 12:20:52] {'type': 'usb', 'action': 'unbind', 'timestamp': '2025-06-30 12:20:52.638908', 'model': 'Inconnu', 'vendor': 'Inconnu', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:14.0/usb3/3-3', 'node': '/dev/bus/usb/003/009'}
[2025-06-30 12:20:52] {'type': 'usb', 'action': 'remove', 'timestamp': '2025-06-30 12:20:52.640459', 'model': 'Inconnu', 'vendor': 'Inconnu', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:14.0/usb3/3-3', 'node': '/dev/bus/usb/003/009'}
[2025-06-30 12:21:46] {'type': 'usb', 'action': 'change', 'timestamp': '2025-06-30 12:21:46.655148', 'model': 'USB_Keyboard', 'vendor': 'SEM', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:14.0/usb3/3-3', 'node': '/dev/bus/usb/003/010'}
[2025-06-30 12:21:46] {'type': 'usb', 'action': 'add', 'timestamp': '2025-06-30 12:21:46.657313', 'model': 'Inconnu', 'vendor': 'Inconnu', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:14.0/usb3/3-3/3-3:1.0', 'node': None}
[2025-06-30 12:21:46] {'type': 'usb', 'action': 'add', 'timestamp': '2025-06-30 12:21:46.660876', 'model': 'Inconnu', 'vendor': 'Inconnu', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:14.0/usb3/3-3/3-3:1.1', 'node': None}
[2025-06-30 12:21:46] {'type': 'usb', 'action': 'bind', 'timestamp': '2025-06-30 12:21:46.761399', 'model': 'Inconnu', 'vendor': 'Inconnu', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:14.0/usb3/3-3/3-3:1.0', 'node': None}
[2025-06-30 12:21:46] {'type': 'usb', 'action': 'bind', 'timestamp': '2025-06-30 12:21:46.763153', 'model': 'Inconnu', 'vendor': 'Inconnu', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:14.0/usb3/3-3/3-3:1.1', 'node': None}
[2025-06-30 12:21:46] {'type': 'usb', 'action': 'bind', 'timestamp': '2025-06-30 12:21:46.769296', 'model': 'USB_Keyboard', 'vendor': 'SEM', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:14.0/usb3/3-3', 'node': '/dev/bus/usb/003/010'}
